Continente;Ordem continente;País;Ordem país;UF;Ordem UF;Via_de_acesso;Ordem via de acesso;ano;Mês;Ordem mês;Chegadas
África;1;África do Sul;2;São Paulo;25;Aérea;1;2015;janeiro;1;1382
África;1;Angola;6;São Paulo;25;Aérea;1;2015;janeiro;1;5573
África;1;Cabo Verde;35;São Paulo;25;Aérea;1;2015;janeiro;1;29
África;1;Nigéria;162;São Paulo;25;Aérea;1;2015;janeiro;1;104
África;1;Outros países;998;São Paulo;25;Aérea;1;2015;janeiro;1;1524
América Central e Caribe;2;Costa Rica;53;São Paulo;25;Aérea;1;2015;janeiro;1;225
América Central e Caribe;2;Cuba;55;São Paulo;25;Aérea;1;2015;janeiro;1;176
América Central e Caribe;2;Guatemala;84;São Paulo;25;Aérea;1;2015;janeiro;1;162
América Central e Caribe;2;Panamá;170;São Paulo;25;Aérea;1;2015;janeiro;1;307
América Central e Caribe;2;Outros países;998;São Paulo;25;Aérea;1;2015;janeiro;1;451
América do Norte;3;Canadá;38;São Paulo;25;Aérea;1;2015;janeiro;1;1731
América do Norte;3;Estados Unidos;68;São Paulo;25;Aérea;1;2015;janeiro;1;8247
América do Norte;3;México;148;São Paulo;25;Aérea;1;2015;janeiro;1;2187
América do Sul;4;Argentina;11;São Paulo;25;Aérea;1;2015;janeiro;1;39435
América do Sul;4;Bolívia;26;São Paulo;25;Aérea;1;2015;janeiro;1;4546
América do Sul;4;Chile;42;São Paulo;25;Aérea;1;2015;janeiro;1;12302
América do Sul;4;Colômbia;48;São Paulo;25;Aérea;1;2015;janeiro;1;3306
América do Sul;4;Equador;63;São Paulo;25;Aérea;1;2015;janeiro;1;1038
América do Sul;4;Guiana Francesa;87;São Paulo;25;Aérea;1;2015;janeiro;1;0
América do Sul;4;Paraguai;173;São Paulo;25;Aérea;1;2015;janeiro;1;4281
América do Sul;4;Peru;174;São Paulo;25;Aérea;1;2015;janeiro;1;2928
América do Sul;4;Guiana;86;São Paulo;25;Aérea;1;2015;janeiro;1;11
América do Sul;4;Suriname;217;São Paulo;25;Aérea;1;2015;janeiro;1;0
América do Sul;4;Uruguai;234;São Paulo;25;Aérea;1;2015;janeiro;1;4481
América do Sul;4;Venezuela;238;São Paulo;25;Aérea;1;2015;janeiro;1;1570
Ásia;5;China;43;São Paulo;25;Aérea;1;2015;janeiro;1;852
Ásia;5;Índia;113;São Paulo;25;Aérea;1;2015;janeiro;1;300
Ásia;5;Israel;119;São Paulo;25;Aérea;1;2015;janeiro;1;805
Ásia;5;Japão;122;São Paulo;25;Aérea;1;2015;janeiro;1;1034
Ásia;5;República da Coreia;184;São Paulo;25;Aérea;1;2015;janeiro;1;2530
Ásia;5;Outros países;998;São Paulo;25;Aérea;1;2015;janeiro;1;2268
Europa;6;Alemanha;4;São Paulo;25;Aérea;1;2015;janeiro;1;5395
Europa;6;Áustria;15;São Paulo;25;Aérea;1;2015;janeiro;1;749
Europa;6;Bélgica;21;São Paulo;25;Aérea;1;2015;janeiro;1;732
Europa;6;Dinamarca;57;São Paulo;25;Aérea;1;2015;janeiro;1;605
Europa;6;Espanha;67;São Paulo;25;Aérea;1;2015;janeiro;1;3831
Europa;6;Finlândia;73;São Paulo;25;Aérea;1;2015;janeiro;1;279
Europa;6;França;74;São Paulo;25;Aérea;1;2015;janeiro;1;4905
Europa;6;Grécia;81;São Paulo;25;Aérea;1;2015;janeiro;1;207
Europa;6;Holanda;92;São Paulo;25;Aérea;1;2015;janeiro;1;1388
Europa;6;Hungria;94;São Paulo;25;Aérea;1;2015;janeiro;1;201
Europa;6;Reino Unido/ Inglaterra;182;São Paulo;25;Aérea;1;2015;janeiro;1;3620
Europa;6;Irlanda;117;São Paulo;25;Aérea;1;2015;janeiro;1;478
Europa;6;Itália;120;São Paulo;25;Aérea;1;2015;janeiro;1;5564
Europa;6;Noruega;164;São Paulo;25;Aérea;1;2015;janeiro;1;674
Europa;6;Polônia;177;São Paulo;25;Aérea;1;2015;janeiro;1;643
Europa;6;Portugal;179;São Paulo;25;Aérea;1;2015;janeiro;1;4059
Europa;6;República Tcheca;187;São Paulo;25;Aérea;1;2015;janeiro;1;140
Europa;6;Rússia;190;São Paulo;25;Aérea;1;2015;janeiro;1;786
Europa;6;Suécia;215;São Paulo;25;Aérea;1;2015;janeiro;1;974
Europa;6;Suíça;216;São Paulo;25;Aérea;1;2015;janeiro;1;2385
Europa;6;Outros países;998;São Paulo;25;Aérea;1;2015;janeiro;1;1893
Oceania;7;Austrália;14;São Paulo;25;Aérea;1;2015;janeiro;1;1012
Oceania;7;Nova Zelândia;166;São Paulo;25;Aérea;1;2015;janeiro;1;218
Oceania;7;Outros países;998;São Paulo;25;Aérea;1;2015;janeiro;1;9
Continente não especificado;8;Países não especificados;999;São Paulo;25;Aérea;1;2015;janeiro;1;12
África;1;África do Sul;2;São Paulo;25;Aérea;1;2014;janeiro;1;823
África;1;Angola;6;São Paulo;25;Aérea;1;2014;janeiro;1;3178
África;1;Cabo Verde;35;São Paulo;25;Aérea;1;2014;janeiro;1;15
África;1;Nigéria;162;São Paulo;25;Aérea;1;2014;janeiro;1;78
África;1;Outros países;998;São Paulo;25;Aérea;1;2014;janeiro;1;915
América Central e Caribe;2;Costa Rica;53;São Paulo;25;Aérea;1;2014;janeiro;1;294
América Central e Caribe;2;Cuba;55;São Paulo;25;Aérea;1;2014;janeiro;1;143
América Central e Caribe;2;Guatemala;84;São Paulo;25;Aérea;1;2014;janeiro;1;85
América Central e Caribe;2;Panamá;170;São Paulo;25;Aérea;1;2014;janeiro;1;194
